# Created by Octave 3.8.1, Wed Dec 28 13:22:38 2016 EST <praveen@praveen-X555LA>
# name: C
# type: matrix
# rows: 40
# columns: 2
 34.62365962451697 78.0246928153624
 30.28671076822607 43.89499752400101
 35.84740876993872 72.90219802708364
 45.08327747668339 56.3163717815305
 95.86155507093572 38.22527805795094
 75.01365838958247 30.60326323428011
 39.53833914367223 76.03681085115882
 67.94685547711617 46.67857410673128
 67.37202754570876 42.83843832029179
 50.534788289883 48.85581152764205
 34.21206097786789 44.20952859866288
 93.114388797442 38.80067033713209
 61.83020602312595 50.25610789244621
 38.78580379679423 64.99568095539578
 52.10797973193984 63.12762376881715
 40.23689373545111 71.16774802184875
 54.63510555424817 52.21388588061123
 33.91550010906887 98.86943574220611
 74.78925295941542 41.57341522824434
 34.1836400264419 75.2377203360134
 51.54772026906181 46.85629026349976
 82.36875375713919 40.61825515970618
 51.04775177128865 45.82270145776001
 62.22267576120188 52.06099194836679
 34.52451385320009 60.39634245837173
 50.2864961189907 49.80453881323059
 49.58667721632031 59.80895099453265
 32.57720016809309 95.59854761387875
 35.28611281526193 47.02051394723416
 56.25381749711624 39.26147251058019
 30.05882244669796 49.59297386723685
 44.66826172480893 66.45008614558913
 66.56089447242954 41.09209807936973
 49.07256321908844 51.88321182073966
 32.72283304060323 43.30717306430063
 60.45555629271532 42.50840943572217
 82.22666157785568 42.71987853716458
 42.0754545384731 78.84478600148043
 52.34800398794107 60.76950525602592
 55.48216114069585 35.57070347228866


