# Created by Octave 3.8.1, Wed Dec 28 13:22:38 2016 EST <praveen@praveen-X555LA>
# name: D
# type: matrix
# rows: 60
# columns: 2
 60.18259938620976 86.30855209546826
 79.0327360507101 75.3443764369103
 61.10666453684766 96.51142588489624
 75.02474556738889 46.55401354116538
 76.09878670226257 87.42056971926803
 84.43281996120035 43.53339331072109
 82.30705337399482 76.48196330235604
 69.36458875970939 97.71869196188608
 53.9710521485623 89.20735013750205
 69.07014406283025 52.74046973016765
 70.66150955499435 92.92713789364831
 76.97878372747498 47.57596364975532
 89.67677575072079 65.79936592745237
 77.9240914545704 68.9723599933059
 62.27101367004632 69.95445795447587
 80.1901807509566 44.82162893218353
 61.379289447425 72.80788731317097
 85.40451939411645 57.05198397627122
 52.04540476831827 69.43286012045222
 64.17698887494485 80.90806058670817
 83.90239366249155 56.30804621605327
 94.44336776917852 65.56892160559052
 77.19303492601364 70.45820000180959
 97.77159928000232 86.7278223300282
 62.07306379667647 96.76882412413983
 91.56497449807442 88.69629254546599
 79.94481794066932 74.16311935043758
 99.2725269292572 60.99903099844988
 90.54671411399852 43.39060180650027
 97.64563396007767 68.86157272420604
 74.24869136721598 69.82457122657193
 71.79646205863379 78.45356224515052
 75.3956114656803 85.75993667331619
 40.45755098375164 97.53518548909936
 80.27957401466998 92.11606081344084
 66.74671856944039 60.99139402740988
 64.0393204150601 78.03168802018232
 72.34649422579923 96.22759296761404
 60.45788573918959 73.09499809758037
 58.84095621726802 75.85844831279042
 99.82785779692128 72.36925193383885
 47.26426910848174 88.47586499559782
 50.45815980285988 75.80985952982456
 88.9138964166533 69.80378889835472
 94.83450672430196 45.69430680250754
 67.31925746917527 66.58935317747915
 57.23870631569862 59.51428198012956
 80.36675600171273 90.96014789746954
 68.46852178591112 85.59430710452014
 75.47770200533905 90.42453899753964
 78.63542434898018 96.64742716885644
 94.09433112516793 77.15910509073893
 90.44855097096364 87.50879176484702
 74.49269241843041 84.84513684930135
 89.84580670720979 45.35828361091658
 83.48916274498238 48.38028579728175
 42.2617008099817 87.10385094025457
 99.31500880510394 68.77540947206617
 55.34001756003703 64.9319380069486
 74.77589300092767 89.52981289513276


